	X1004V4	X1055V4	X1075V6	X1107V4	C132V8	C161V8	C220V8	C532V8	K003V4	K014V2	Z002	Z003	Z007	Z008	Z010	Z011	Z015	Z017	Z018	Z020
HMDB0028690	-0.426239261	-0.945017126	-0.156282562	-0.196698049	-0.651026664	-0.76613922	0.653038185	-0.37426292	-0.030476857	-0.04764208	-0.683785659	-0.919358602	-0.582075005	0.241600349	-0.048415979	-0.139413618	-0.448425752	0.824984847	0.537664114	0.31925848
HMDB0028695	-1.21863226	-0.5049168	-0.024640305	-0.339683913	-0.344311836	-0.739729864	0.762860368	-0.271498334	-1.034242182	0.066545489	-0.670241165	-0.659654768	1.994472133	-0.643753974	-1.537993394	0.131792028	-0.229354705	-0.356596675	0.007630218	0.53656854
HMDB0028699	-0.622697009	0.622081721	-0.370802589	-0.513777715	0.053255536	0.714772809	0.426791712	-0.405782977	-0.904425689	0.998842255	-1.041148201	-0.911465132	-0.913340058	-0.128313504	-0.582841928	0.04476697	-0.183874401	0.104673936	-0.440512289	0.16265131
HMDB0028700	-0.57833807	0.436469954	-0.615945026	-0.470971718	-0.044191203	-0.349819212	0.871064891	-0.739628885	-0.381190843	-0.34627792	0.671852291	0.95368675	0.711198311	0.760611021	0.419127157	0.140819449	0.637083853	-0.646523466	0.79091967	0.049188327
HMDB0028703	0.051635012	0.086017268	-0.389627565	0.090019292	-0.105718603	0.13832083	0.685941488	-0.381902829	0.254832119	-0.582596239	0.145557181	-1.061955848	0.05280552	0.250276895	0.314895456	0.463540342	0.210520128	0.27861241	0.216755557	0.296186693
HMDB0028711	0.21576645	-0.07014463	-0.158825039	0.316600152	-0.983937257	-0.031581422	0.693800054	-0.475825401	-0.439737286	-0.117972507	-0.166346668	0.162393315	-0.145082898	0.048629606	-0.001328471	0.28375908	-0.14685262	0.271360358	0.071454515	-0.105684474
HMDB0028712	0.542048753	0.553545612	0.485760771	0.537202442	0.518024007	-0.513087061	-1.151955315	0.530712134	0.561538407	0.425647258	0.24003872	-1.815649846	0.082136884	0.418315158	0.52832277	0.781378096	0.350632634	0.466553963	0.361247919	0.496472692
HMDB0028716	-0.196665836	-0.177824152	0.13916209	-0.258458184	-0.745143575	0.199698204	0.64588868	-0.325516773	-0.412094702	-0.06621455	0.455536843	0.460997099	1.429504718	-0.056618737	0.035571581	-0.642414398	0.001434951	-0.505895646	0.181767126	0.022272992
HMDB0028717	0.563720248	-0.078581774	-0.483087659	-0.084527362	-0.226759005	-0.302245993	0.191760639	-0.355823025	-0.232513303	-0.181886796	-0.345250927	-0.444222121	1.12913901	-0.304570027	0.358560857	-0.233726816	-0.352416941	0.416746223	-0.234439335	-0.009864642
HMDB0028722	-0.105136568	-0.145549817	-0.33558448	-0.352194127	-0.192634443	-0.147518039	0.49933747	-0.337202335	-0.078371831	0.040643174	0.106708061	-0.776144863	0.038894238	0.183272129	0.230516909	0.339196128	0.154204639	0.203989171	0.158763568	0.216838312
HMDB0028726	-0.3904315	-0.124220843	-0.372857296	-0.224601023	-0.190005385	-0.457118111	0.783915263	-0.437526358	-0.101861448	0.009802649	0.668627499	0.813591239	1.08652978	0.465385299	-0.039766163	-0.375312916	-0.040659458	-0.429541137	0.556286163	-0.178909445
HMDB0028734	-1.31197488	-0.416234415	-0.146892252	-0.802818583	-0.44385625	-0.40930171	1.139260679	-0.400433874	-1.41267217	0.242569391	0.693266222	0.750387484	0.437662982	0.546368826	-0.261975451	-0.123226871	-0.579447786	-0.757792973	0.834526318	-0.223291265
HMDB0028736	-0.119898564	-0.079025301	0.221885594	0.186610446	-0.086888601	-0.599216523	-0.357883574	-0.483159152	-0.216754694	-0.206830119	0.25751419	-0.479680866	-0.293735809	-0.273916414	0.20158049	-0.167388231	-0.289218064	0.169015017	-0.147151982	-0.273533336
HMDB0028743	-0.577392513	-0.069777279	-0.810773946	-0.313295077	-0.367460825	-0.851861113	1.031947874	-0.943019233	-0.25245718	-0.141314133	0.375210992	-0.693648813	-0.109739143	-0.474777108	-0.487886361	-0.543626805	-0.571110543	0.350714571	-0.005350275	0.023933658
HMDB0028764	-0.757060268	-0.011883405	-0.344770453	-0.422927341	-0.353174746	-0.969182667	1.178810301	0.242880775	-1.195871499	0.493222092	0.562275119	0.27944748	1.552513508	0.096222665	-0.880551985	-0.817717652	-1.161678022	-0.472032737	0.265484636	-0.381604074
HMDB0028765	-0.366006649	-0.174461193	-0.51696442	-0.431078977	-0.25690472	-0.437044184	1.140436072	-0.775261014	-0.215066874	0.205146181	0.563851164	-1.044641004	-0.165934433	-0.715268132	-0.734995816	-0.818877783	-0.860237167	0.526987302	-0.008843049	0.035225389
HMDB0028772	-0.183521317	0.457535918	0.623643738	-0.060646619	-0.858392296	-0.677343462	1.265489202	-0.313738313	-1.180277622	0.986392355	-0.520786549	1.651010691	0.741143094	0.994464424	0.010080197	0.090999031	0.86930083	1.711959762	1.447380332	0.344875111
HMDB0028787	0.058965247	0.375332791	-0.352653486	0.185012599	-1.146552262	0.007560621	0.594504579	-0.385967122	0.825198789	0.196006399	-1.014369565	-0.887998285	-0.889825337	-0.12484648	-0.567767333	0.043813942	-0.178988482	0.102191019	-0.429072453	0.158687799
HMDB0028798	-0.102293366	0.114993265	0.100991173	-0.011168785	0.01674148	0.239602268	-0.460061065	0.05238405	0.412677476	0.095701932	-0.151446445	-0.050015654	0.147155962	0.206687331	-0.363987604	-0.230308079	-0.115366387	-0.041923047	-0.395234897	-0.367197989
HMDB0028800	-0.884245847	-0.61002271	-0.48323523	-1.056812368	-0.269086613	-0.776440224	1.757956637	-1.188322638	0.30979665	0.018230208	-0.745055822	-3.198992087	-0.313314057	-0.424985433	-0.366735012	0.15866798	0.141150567	-0.418384894	-0.827210098	-0.173601297
HMDB0028805	0.584002805	-0.245155689	-0.538022684	0.211040307	-0.112401971	0.348573454	0.448596563	-0.250088042	-0.305761095	0.592344784	0.394225293	0.726139327	0.769908598	0.007918168	0.020121595	-1.164471207	0.429924679	-0.377139115	0.137320625	0.064853362
HMDB0028809	-0.516564285	-0.699005968	-0.312568834	-0.550991975	-0.3548241	-0.574924554	0.556794891	-0.348697838	-0.182858148	-0.033440137	-0.215447589	0.37523853	-0.627707162	0.001591886	0.441394203	0.494427996	0.066402432	-0.319395455	0.849038819	-0.5986214
HMDB0028810	-0.26560126	-0.539800139	-0.0919477	-0.379695957	-0.223607453	-0.11138761	0.494284207	-0.075991679	-1.088215867	-0.285724879	0.805620912	1.13063012	1.596874296	0.420190834	-0.279741758	-0.382348675	0.16018087	-0.383521259	0.739366367	-0.301236261
HMDB0028822	-0.847443796	-0.784367701	-0.590066922	-1.323789491	-0.089420091	-0.848780748	1.769827835	-0.680752533	-0.940368989	0.00867501	1.580591966	0.921777163	2.75989916	0.008927878	-0.573048329	-0.702958906	0.614378045	-0.656356977	0.728162407	-0.321877896
HMDB0028825	0.553995875	-0.053662058	-0.032154566	0.444758506	-0.119847701	-0.394683798	0.201372302	-0.338132452	-0.159604059	-0.001869795	-0.664947724	-0.3353163	0.63017006	0.226208614	-0.649868329	-0.131039821	0.313368103	-0.078516581	0.174271798	0.192582864
HMDB0028830	-0.490267582	0.085669513	-0.281488893	-0.47022436	-0.180284181	0.069304521	0.712643517	-0.870592337	-0.148155123	0.029129306	0.184295295	-0.225554554	0.87979672	-0.101648816	-0.194110257	-0.43463932	-0.265089523	0.282414086	0.340608153	-0.004076496
